日付,曜日,工場売上,工場仕入,工場内粗利,工場内粗利利益率,ヤード売上,ヤード仕入,ヤード粗利,ヤード利益率,手数料他,工場内売上計,工場内仕入計,工場内粗利計,利益率
2023/2/17,金,4910120,2201380,2708740,0.551664725,922100,276180,645920,0.700488016,24610,5832220,2502170,3330050,0.570974689
2023/2/18,土,5125060,2189220,2935840,0.572840123,798170,552040,246130,0.308367892,28400,5923230,2769660,3153570,0.532407149
2023/2/19,日,619160,0,619160,1,234260,84300,149960,0.64014343,0,853420,84300,769120,0.90122097
2023/2/20,月,6391190,1993760,4397430,0.688045575,606700,416410,190290,0.313647602,43610,6997890,2453780,4544110,0.649354305
2023/2/21,火,6519930,2637830,3882100,0.595420503,887627,333865,553762,0.623867908,68050,7407557,3039745,4367812,0.589642712
2023/2/22,水,5034820,2026216,3008604,0.597559396,585070,286515,298555,0.510289367,27050,5619890,2339781,3280109,0.583660712
2023/2/23,木,2607400,1470810,1136590,0.435909335,112840,1004140,-891300,-7.898794754,12650,2720240,2487600,232640,0.085521866
2023/2/24,金,6018580,2232501,3786079,0.629065162,2488525,575025,1913500,0.768929386,21560,8507105,2829086,5678019,0.66744433
2023/2/25,土,4514375,2102630,2411745,0.534236744,1686030,394070,1291960,0.766273435,35200,6200405,2531900,3668505,0.591655706
2023/2/26,日,1281160,0,1281160,1,0,106610,-106610,0,0,1281160,106610,1174550,0.91678635
2023/2/27,月,5588600,1237090,4351510,0.778640447,932147,148150,783997,0.84106584,85710,6520747,1470950,5049797,0.774420017
2023/2/28,火,6572664,4182150,2390514,0.363705493,1295446,471065,824381,0.636368479,242554,7868110,4895769,2972341,0.377770646
2023/3/1,水,6272080,2385820,3886260,0.619612632,283487,183455,100032,0.352862742,,6555567,2569275,3986292,0.608077379
2023/3/2,木,7045960,2720670,4325290,0.613868089,645210,261690,383520,0.594411122,,7691170,2982360,4708810,0.61223585
2023/3/3,金,5661320,3708810,1952510,0.344885998,910770,372025,538745,0.59152695,,6572090,4080835,2491255,0.379065868
2023/3/4,土,4832320,2813660,2018660,0.417741375,1148205,244925,903280,0.786688788,,5980525,3058585,2921940,0.488575836
2023/3/5,日,655920,8910,647010,0.986416026,78470,2220,76250,0.971708933,,734390,11130,723260,0.984844565
2023/3/6,月,7011560,3277940,3733620,0.532494908,147900,253050,-105150,-0.710953347,,7159460,3530990,3628470,0.506807776
2023/3/7,火,6455120,2184790,4270330,0.661541536,532615,574965,-42350,-0.079513345,,6987735,2759755,4227980,0.60505729
2023/3/8,水,5347300,2716550,2630750,0.49197726,483040,409130,73910,0.153010103,,5830340,3125680,2704660,0.463894044
2023/3/9,木,6723900,2693960,4029940,0.599345618,613640,469525,144115,0.234852682,,7337540,3163485,4174055,0.568862998
2023/3/10,金,5984690,3156010,2828680,0.472652719,864845,675645,189200,0.218767525,,6849535,3831655,3017880,0.440596332
2023/3/11,土,6982780,3156740,3826040,0.547925038,919940,777130,142810,0.155238385,,7902720,3933870,3968850,0.502213162
2023/3/12,日,87100,0,87100,1,0,0,0,0,,87100,0,87100,1
2023/3/13,月,6433970,1841521,4592449,0.713781538,1429940,247240,1182700,0.82709764,,7863910,2088761,5775149,0.734386457
2023/3/14,火,7106570,3694900,3411670,0.480072665,1342540,456225,886315,0.660177723,,8449110,4151125,4297985,0.508690856
2023/3/15,水,6702120,2452350,4249770,0.634093391,1307335,276185,1031150,0.788741983,,8009455,2728535,5280920,0.659335748
2023/3/16,木,6971680,3589440,3382240,0.48513988,326930,575125,-248195,-0.759168629,,7298610,4164565,3134045,0.429402996
2023/3/17,金,6598110,2377780,4220330,0.639627105,1627530,729835,897695,0.551568942,,8225640,3107615,5118025,0.622203865
2023/3/18,土,6163100,2454330,3708770,0.601770213,1620715,664435,956280,0.590035879,,7783815,3118765,4665050,0.599326937
2023/3/19,日,2254900,20,2254880,0.99999113,474570,459760,14810,0.031207198,,2729470,459780,2269690,0.831549715
2023/3/20,月,6228320,2804210,3424110,0.549764624,1039490,590265,449225,0.43215904,,7267810,3394475,3873335,0.532943899
2023/3/21,祝,4429430,2041670,2387760,0.539067103,307400,639275,-331875,-1.079619388,,4736830,2680945,2055885,0.434021276
2023/3/22,水,6715530,2471220,4244310,0.632014152,1201220,348635,852585,0.709765905,,7916750,2819855,5096895,0.643811539
2023/3/23,木,6472750,3267120,3205630,0.495250087,982205,423400,558805,0.568929093,,7454955,3690520,3764435,0.504957441
2023/3/24,金,6543970,2459883,4084087,0.624099285,1029610,992325,37285,0.036212741,,7573580,3452208,4121372,0.544177522
2023/3/25,土,6356690,3015150,3341540,0.525672952,1136705,414475,722230,0.635371534,,7493395,3429625,4063770,0.542313598
2023/3/26,日,1921700,3780,1917920,0.998032992,102390,508335,-405945,-3.964693818,,2024090,512115,1511975,0.746990005
2023/3/27,月,5203550,1937980,3265570,0.627565796,1448460,704225,744235,0.51381122,,6652010,2642205,4009805,0.602795997
2023/3/28,火,6855800,4698145,2157655,0.314719653,1739020,751575,987445,0.567816931,,8594820,5449720,3145100,0.365929711
2023/3/29,水,6417790,2692330,3725460,0.580489545,639155,200400,438755,0.686461031,,7056945,2892730,4164215,0.590087495
2023/3/30,木,5096310,3156570,1939740,0.380616564,683495,447465,236030,0.345328057,,5779805,3604035,2175770,0.376443496
2023/3/31,金,7254911,3432012,3822899,0.526939476,1867018,279585,1587433,0.850250506,,9121929,3711597,5410332,0.593112707
2023/4/1,土,4653160,3063390,1589770,0.341653844,791225,285233,505992,0.639504566,,5444385,3348623,2095762,0.38494008
2023/4/2,日,1385340,12610,1372730,0.990897541,0,213900,-213900,0,,1385340,226510,1158830,0.836495012
2023/4/3,月,4790270,1442830,3347440,0.698799859,812090,141030,671060,0.826336982,,5602360,1583860,4018500,0.717287
2023/4/4,火,6059710,2174876,3884834,0.641092396,876233,423700,452533,0.516452816,,6935943,2598576,4337367,0.625346402
2023/4/5,水,4568410,2383150,2185260,0.47834148,657155,125955,531200,0.80833289,,5225565,2509105,2716460,0.519840438
2023/4/6,木,5373270,2098618,3274652,0.609433734,281985,161295,120690,0.428001489,,5655255,2259913,3395342,0.600387074
2023/4/7,金,5386050,2712820,2673230,0.496324765,661400,370170,291230,0.440323556,,6047450,3082990,2964460,0.490200002
2023/4/8,土,4166830,3376170,790660,0.189750962,1288735,453165,835570,0.648364481,,5455565,3829335,1626230,0.298086449
2023/4/9,日,0,0,0,0,0,0,0,0,,0,0,0,0
2023/4/10,月,4745580,2143130,2602450,0.548394506,388940,98210,290730,0.747493187,,5134520,2241340,2893180,0.563476235
2023/4/11,火,4297690,1460520,2837170,0.660161622,812530,470525,342005,0.420913689,,5110220,1931045,3179175,0.622120965
2023/4/12,水,5026480,2508420,2518060,0.500958922,1217460,374400,843060,0.692474496,,6243940,2882820,3361120,0.538301137
2023/4/13,木,4730040,1687350,3042690,0.643269402,305275,236270,69005,0.226042093,,5035315,1923620,3111695,0.617974248
2023/4/14,金,5499180,2123605,3375575,0.613832426,665705,523741,141964,0.213253618,,6164885,2647346,3517539,0.57057658
2023/4/15,土,5558070,1323650,4234420,0.761850786,1233465,220615,1012850,0.821142067,,6791535,1544265,5247270,0.77261915
2023/4/16,日,1455280,8640,1446640,0.994062998,107250,149070,-41820,-0.38993007,,1562530,157710,1404820,0.899067538
2023/4/17,月,4523150,1700710,2822440,0.623998762,349990,501771,-151781,-0.433672391,,4873140,2202481,2670659,0.548036584
2023/4/18,火,6724450,2570115,4154335,0.617795507,435745,244583,191162,0.438701534,,7160195,2814698,4345497,0.60689646
2023/4/19,水,5111985,3365613,1746372,0.341623068,292915,498790,-205875,-0.702848949,,5404900,3864403,1540497,0.285018594
2023/4/20,木,5215460,2516280,2699180,0.517534407,1395050,299120,1095930,0.785584746,,6610510,2815400,3795110,0.574102452
2023/4/21,金,4369639,2112412,2257227,0.516570591,1711749,522720,1189029,0.694628126,,6081388,2635132,3446256,0.566689052
2023/4/22,土,4518730,2026680,2492050,0.551493451,1059200,141170,918030,0.866720166,,5577930,2167850,3410080,0.61135224
2023/4/23,日,1320270,0,1320270,1,0,201370,-201370,0,,1320270,201370,1118900,0.847478167
2023/4/24,月,4986790,1832123,3154667,0.632604742,478830,496895,-18065,-0.037727377,,5465620,2329018,3136602,0.573878535
2023/4/25,火,6175130,2385740,3789390,0.613653478,935544,259785,675759,0.722316641,,7110674,2645525,4465149,0.627950177
2023/4/26,水,5595770,2471815,3123955,0.558270801,646310,214825,431485,0.667613065,,6242080,2686640,3555440,0.569592187
2023/4/27,木,5981020,2667798,3313222,0.553956014,838900,136650,702250,0.837108118,,6819920,2804448,4015472,0.588785792
2023/4/28,金,5068080,2685900,2382180,0.47003599,577370,486945,90425,0.156615342,,5645450,3172845,2472605,0.437981915
2023/4/29,土,3553960,73390,3480570,0.979349796,0,86110,-86110,0,,3553960,159500,3394460,0.955120485
2023/4/30,日,447424,495144,-47720,-0.106654985,0,27050,-27050,0,,447424,522194,-74770,-0.16711218
2023/5/1,月,5547520,2321153,3226367,0.581587268,259920,431330,-171410,-0.659472145,,5807440,2752483,3054957,0.526041939
2023/5/2,火,6412660,3508229,2904431,0.452921409,1551725,388930,1162795,0.749356361,,7964385,3897159,4067226,0.510676719
2023/5/3,水,0,0,0,0,0,0,0,0,,0,0,0,0
2023/5/4,木,0,0,0,0,0,0,0,0,,0,0,0,0
2023/5/5,金,0,0,0,0,0,0,0,0,,0,0,0,0
2023/5/6,土,3658420,1489910,2168510,0.592744955,419995,205250,214745,0.511303706,,4078415,1695160,2383255,0.584358139
2023/5/7,日,502960,960,502000,0.9980913,290550,106550,184000,0.633281707,,793510,107510,686000,0.864513365
2023/5/8,月,3919670,1304230,2615440,0.667260254,357000,372080,-15080,-0.042240896,,4276670,1676310,2600360,0.608033821
2023/5/9,火,6100420,2887560,3212860,0.526662099,934950,378135,556815,0.595555912,,7035370,3265695,3769675,0.53581759
2023/5/10,水,5033020,1647140,3385880,0.672733269,1020880,164995,855885,0.838379633,,6053900,1812135,4241765,0.700666512
2023/5/11,木,4231530,2707311,1524219,0.360205174,206290,259380,-53090,-0.257356149,,4437820,2966691,1471129,0.331498123
2023/5/12,金,4630915,2500653,2130262,0.460008875,944980,282160,662820,0.70141167,,5575895,2782813,2793082,0.500920839
2023/5/13,土,4745370,2217950,2527420,0.532607573,266690,190090,76600,0.287224868,,5012060,2408040,2604020,0.519550843
2023/5/14,日,1065410,17600,1047810,0.983480538,52000,40800,11200,0.215384615,,1117410,58400,1059010,0.947736283
2023/5/15,月,4029880,902850,3127030,0.775961071,812030,134840,677190,0.833947022,,4841910,1037690,3804220,0.785685814
2023/5/16,火,4720430,2566080,2154350,0.456388507,414500,257725,156775,0.378226779,,5134930,2823805,2311125,0.450079164
2023/5/17,水,5495590,1862960,3632630,0.66100819,752800,249820,502980,0.66814559,,6248390,2112780,4135610,0.661868097
2023/5/18,木,5024690,2554870,2469820,0.491536791,524314,417075,107239,0.204532017,,5549004,2971945,2577059,0.464418299
2023/5/19,金,4528201,1213671,3314530,0.731975016,696570,296790,399780,0.573926526,,5224771,1510461,3714310,0.710903885
2023/5/20,土,4222260,2641930,1580330,0.374285335,913666,295895,617771,0.676145331,,5135926,2937825,2198101,0.427985333
2023/5/21,日,710650,5330,705320,0.992499824,204440,182610,21830,0.106779495,,915090,187940,727150,0.794621294
2023/5/22,月,4276750,1722390,2554360,0.597266616,298510,210350,88160,0.29533349,,4575260,1932740,2642520,0.577567177
2023/5/23,火,6267310,2366250,3901060,0.622445674,561630,275780,285850,0.508964977,,6828940,2642030,4186910,0.613112723
2023/5/24,水,5110440,2333742,2776698,0.543338343,904930,114600,790330,0.87336037,,6015370,2448342,3567028,0.592985635
2023/5/25,木,5311240,2722840,2588400,0.487343822,619220,138485,480735,0.776355738,,5930460,2861325,3069135,0.517520563
2023/5/26,金,5127250,2680770,2446480,0.47715247,500205,504660,-4455,-0.008906348,,5627455,3185430,2442025,0.433948383
2023/5/27,土,5004790,2116840,2887950,0.577037198,968190,290870,677320,0.699573431,,5972980,2407710,3565270,0.596899705
2023/5/28,日,1228350,3340,1225010,0.997280905,185750,120610,65140,0.350686406,,1414100,123950,1290150,0.912347076
2023/5/29,月,4303880,958770,3345110,0.777231243,448180,165180,283000,0.631442724,,4752060,1123950,3628110,0.763481522
2023/5/30,火,4555860,1951495,2604365,0.571651675,1029330,471100,558230,0.542323647,,5585190,2422595,3162595,0.566246627
2023/5/31,水,5222901,2151471,3071430,0.588069734,776780,387415,389365,0.501255182,,5999681,2538886,3460795,0.576829835
2023/6/1,木,3639880,2504970,1134910,0.311798741,431051,73630,357421,0.829184946,,4070931,2578600,1492331,0.366582239
2023/6/2,金,4449790,2081800,2367990,0.532157697,743150,334845,408305,0.549424746,,5192940,2416645,2776295,0.534628746
2023/6/3,土,3484090,1437780,2046310,0.587329834,637480,186780,450700,0.707002573,,4121570,1624560,2497010,0.605839522
2023/6/4,日,1350650,6480,1344170,0.99520231,177500,178030,-530,-0.002985915,,1528150,184510,1343640,0.879259235
2023/6/5,月,4360640,1281130,3079510,0.70620597,529860,383565,146295,0.276101234,,4890500,1664695,3225805,0.65960638
2023/6/6,火,4907370,2490070,2417300,0.492585642,591840,353720,238120,0.40233847,,5499210,2843790,2655420,0.482872994
2023/6/7,水,5188150,1499280,3688870,0.711018378,548110,447975,100135,0.182691431,,5736260,1947255,3789005,0.660535785
2023/6/8,木,4117020,2394870,1722150,0.41830013,596470,216280,380190,0.637400037,,4713490,2611150,2102340,0.446026193
2023/6/9,金,4797950,1014740,3783210,0.788505508,727865,213265,514600,0.706999237,,5525815,1228005,4297810,0.777769433
2023/6/10,土,4304490,2116270,2188220,0.508357552,745175,496400,248775,0.333847754,,5049665,2612670,2436995,0.482605282
2023/6/11,日,0,0,0,0,0,0,0,0,,0,0,0,0
2023/6/12,月,6263350,1102820,5160530,0.823924896,459520,143560,315960,0.687587047,,6722870,1246380,5476490,0.814605964
2023/6/13,火,5446970,2450251,2996719,0.550162567,148000,206150,-58150,-0.392905405,,5594970,2656401,2938569,0.525216221
2023/6/14,水,6505770,1922520,4583250,0.704490014,296330,197270,99060,0.334289475,,6802100,2119790,4682310,0.688362417
2023/6/15,木,5191030,2533590,2657440,0.511929232,404300,198410,205890,0.509250557,,5595330,2732000,2863330,0.51173568
2023/6/16,金,3960960,2127340,1833620,0.46292313,939200,647670,291530,0.31040247,,4900160,2775010,2125150,0.43368992
2023/6/17,土,4187790,2606120,1581670,0.377686083,996352,33270,963082,0.966608187,,5184142,2639390,2544752,0.490872357
2023/6/18,日,1703140,93530,1609610,0.945083786,146040,313620,-167580,-1.147493837,,1849180,407150,1442030,0.779821326
2023/6/19,月,4281650,1689580,2592070,0.605390445,496220,214795,281425,0.56713756,,4777870,1904375,2873495,0.601417577
2023/6/20,火,5347400,2523760,2823640,0.528039795,336530,387280,-50750,-0.150803792,,5683930,2911040,2772890,0.487847317
2023/6/21,水,5550450,1839790,3710660,0.668533182,978415,231890,746525,0.76299423,,6528865,2071680,4457185,0.682689104
2023/6/22,木,6135160,2509230,3625930,0.591008221,505200,223110,282090,0.558372922,,6640360,2732340,3908020,0.588525321
2023/6/23,金,4004950,1961110,2043840,0.510328469,710835,207185,503650,0.708532923,,4715785,2168295,2547490,0.540204865
2023/6/24,土,4034660,1952940,2081720,0.515959213,619674,348415,271259,0.437744685,,4654334,2301355,2352979,0.505545799
2023/6/25,日,1279650,0,1279650,1,61950,299510,-237560,-3.834705408,,1341600,299510,1042090,0.77675164
2023/6/26,月,5182180,1661363,3520817,0.679408473,521030,261810,259220,0.497514539,,5703210,1923173,3780037,0.66279113
2023/6/27,火,4997820,2360360,2637460,0.527722087,1502570,431170,1071400,0.713044983,,6500390,2791530,3708860,0.570559613
2023/6/28,水,5504140,2620980,2883160,0.523816618,736185,162070,574115,0.779851532,,6240325,2783050,3457275,0.554021625
2023/6/29,木,4136350,2816875,1319475,0.318995008,231680,481420,-249740,-1.077952348,,4368030,3298295,1069735,0.244901019
2023/6/30,金,4362586,3041791,1320795,0.302755063,1006780,375365,631415,0.627162836,,5369366,3417156,1952210,0.363582963
2023/7/1,土,3973590,2187885,1785705,0.44939337,693335,210475,482860,0.696431018,33840,4666925,2432200,2268565,0.486094163
2023/7/2,日,744590,0,744590,1,0,2970,-2970,0,0,744590,2970,741620,0.996011228
2023/7/3,月,4583650,753020,3830630,0.835716078,121400,86885,34515,0.284308072,39680,4705050,879585,3865145,0.821488613
2023/7/4,火,4792650,2493395,2299255,0.47974607,379750,186540,193210,0.508782093,47230,5172400,2727165,2492465,0.481877852
2023/7/5,水,5035760,1793780,3241980,0.643791602,833310,230525,602785,0.723362254,45600,5869070,2069905,3844765,0.655089307
2023/7/6,木,4733780,2343530,2390250,0.504934746,430225,125360,304865,0.708617584,38300,5164005,2507190,2695115,0.521904026
2023/7/7,金,4365200,2393090,1972110,0.451779987,554310,228190,326120,0.588335047,28050,4919510,2649330,2298230,0.467166445
2023/7/8,土,5268980,1980555,3288425,0.624110359,301205,155425,145780,0.48398931,163130,5570185,2299110,3434205,0.616533383
2023/7/9,日,252200,0,252200,1,0,0,0,0,0,252200,0,252200,1
2023/7/10,月,5415810,936720,4479090,0.827039723,199080,210240,-11160,-0.056057866,59450,5614890,1206410,4467930,0.795728857
2023/7/11,火,5250929,2705180,2545749,0.484818782,247860,80700,167160,0.674412975,102250,5498789,2888130,2712909,0.493364812
