日付,曜日,工場売上,工場仕入,工場内粗利,工場内粗利利益率,ヤード売上,ヤード仕入,ヤード粗利,ヤード利益率,手数料他,工場内売上計,工場内仕入計,工場内粗利計,利益率
2022/3/27,日,1722080,0,1722080,1,175080,1246185,-1071105,-6.11780329,9990,1897160,1256175,640985,0.337865546
2022/3/28,月,7112400,1592560,5519840,0.776086834,935775,891405,44370,0.047415244,123850,8048175,2607815,5440360,0.675974367
2022/3/29,火,6958215,2999525,3958690,0.568923208,740562,249360,491202,0.66328275,29780,7698777,3278665,4420112,0.574131709
2022/3/30,水,6315920,2993170,3322750,0.526091211,1344515,777060,567455,0.422051818,131940,7660435,3902170,3758265,0.490607257
2022/3/31,木,5912185,4161740,1750445,0.296074125,2711702,478370,2233332,0.823590498,217425,8623887,4857535,3766352,0.436734851
2022/4/1,金,5493300,1951885,3541415,0.644678973,1056485,949200,107285,0.101549004,103510,6549785,3004595,3545190,0.541268148
2022/4/2,土,4787140,1875386,2911754,0.608245006,1001880,427695,574185,0.573107558,89870,5789020,2392951,3396069,0.586639708
2022/4/3,日,1031320,0,1031320,1,0,235495,-235495,0,8100,1031320,243595,787725,0.763802699
2022/4/4,月,3754320,1984530,1769790,0.471400946,1154840,168865,985975,0.853776281,6970,4909160,2160365,2748795,0.559931842
2022/4/5,火,4438450,3178955,1259495,0.283769109,315510,440610,-125100,-0.396500903,8160,4753960,3627725,1126235,0.236904602
2022/4/6,水,3449650,1315905,2133745,0.618539562,882605,702835,179770,0.203681148,26260,4332255,2045000,2287255,0.527959458
2022/4/7,木,5099820,1972865,3126955,0.613150072,2873419,108565,2764854,0.962217484,44760,7973239,2126190,5847049,0.73333422
2022/4/8,金,4145650,1567276,2578374,0.62194686,310290,496740,-186450,-0.60088949,6000,4455940,2070016,2385924,0.535447964
2022/4/9,土,5385480,1113345,4272135,0.793269124,899435,147925,751510,0.835535642,147400,6284915,1408670,4876245,0.775864908
2022/4/10,日,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/4/11,月,4890100,1980500,2909600,0.594998057,756255,262585,493670,0.652782461,12000,5646355,2255085,3391270,0.600612253
2022/4/12,火,6870045,2103555,4766490,0.693807682,739745,218195,521550,0.70504025,36960,7609790,2358710,5251080,0.690042695
2022/4/13,水,5747370,3419703,2327667,0.404996894,786965,269670,517295,0.657329106,78010,6534335,3767383,2766952,0.42344814
2022/4/14,木,5754690,3447515,2307175,0.400920814,489630,482930,6700,0.013683802,59880,6244320,3990325,2253995,0.360967247
2022/4/15,金,4976050,2570970,2405080,0.483331156,1070905,106005,964900,0.901013629,9180,6046955,2686155,3360800,0.555783861
2022/4/16,土,5453440,2067025,3386415,0.6209686,4604315,144915,4459400,0.968526263,81330,10057755,2293270,7764485,0.771989872
2022/4/17,日,1667060,0,1667060,1,244400,100515,143885,0.588727496,9450,1911460,109965,1801495,0.942470677
2022/4/18,月,5070180,2654400,2415780,0.476468291,830050,338125,491925,0.592645021,86610,5900230,3079135,2821095,0.478133056
2022/4/19,火,7228890,2920415,4308475,0.596007824,1656400,92930,1563470,0.943896402,141100,8885290,3154445,5730845,0.644981199
2022/4/20,水,5399560,2966120,2433440,0.450673759,614850,367005,247845,0.403098317,60650,6014410,3393775,2620635,0.435726031
2022/4/21,木,6120890,2567355,3553535,0.580558546,142630,334665,-192035,-1.346385753,74630,6263520,2976650,3286870,0.52476403
2022/4/22,金,5340830,2596130,2744700,0.513908887,1004460,350285,654175,0.651270334,71980,6345290,3018395,3326895,0.52430937
2022/4/23,土,5419020,2680115,2738905,0.505424413,1433690,577085,856605,0.597482719,112695,6852710,3369895,3482815,0.508239076
2022/4/24,日,1133720,9730,1123990,0.991417634,0,73650,-73650,0,9990,1133720,93370,1040350,0.917642804
2022/4/25,月,4269450,1578385,2691065,0.630307182,1364910,421075,943835,0.691499806,0,5634360,1999460,3634900,0.645130947
2022/4/26,火,5364190,3572725,1791465,0.333967477,38400,155330,-116930,-3.045052083,29150,5402590,3757205,1645385,0.304554852
2022/4/27,水,6466130,2569860,3896270,0.602565986,850780,483320,367460,0.431909542,34650,7316910,3087830,4229080,0.577987156
2022/4/28,木,6104310,1822545,4281765,0.701433086,1992469,269035,1723434,0.86497406,50190,8096779,2141770,5955009,0.735478763
2022/4/29,金,3131830,1355000,1776830,0.567345609,542810,1034905,-492095,-0.906569518,58590,3674640,2448495,1226145,0.333677585
2022/4/30,土,5461183,2548510,2912673,0.533341036,1018690,636225,382465,0.375447879,185833,6479873,3370568,3109305,0.479840423
2022/5/1,日,814380,0,814380,1,980620,40475,940145,0.958725092,17720,1795000,58195,1736805,0.967579387
2022/5/2,月,4124990,2655530,1469460,0.356233591,1878290,337850,1540440,0.820128947,43690,6003280,3037070,2966210,0.494098226
2022/5/3,火,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/4,水,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/5,木,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/5/6,金,6266290,3217490,3048800,0.486539882,717290,330140,387150,0.539739854,17700,6983580,3565330,3418250,0.489469584
2022/5/7,土,4282170,2556870,1725300,0.402903201,3759365,451550,3307815,0.87988663,5130,8041535,3013550,5027985,0.625251895
2022/5/8,日,1519600,0,1519600,1,1863620,232070,1631550,0.875473541,6480,3383220,238550,3144670,0.929490249
2022/5/9,月,4482725,1553105,2929620,0.653535517,883075,387960,495115,0.560671517,51400,5365800,1992465,3373335,0.628673264
2022/5/10,火,5224480,1986590,3237890,0.619753545,120100,776455,-656355,-5.465070774,51120,5344580,2814165,2530415,0.473454416
2022/5/11,水,6248990,1618450,4630540,0.741006147,791160,480875,310285,0.392189949,141320,7040150,2240645,4799505,0.681733344
2022/5/12,木,5946670,2087350,3859320,0.648988425,120780,336650,-215870,-1.787299222,77380,6067450,2501380,3566070,0.587737847
2022/5/13,金,5765470,1974974,3790496,0.657447875,1660202,338535,1321667,0.796088066,12150,7425672,2325659,5100013,0.686808278
2022/5/14,土,6006470,3173230,2833240,0.471698019,1592305,617930,974375,0.611927363,15000,7598775,3806160,3792615,0.499108738
2022/5/15,日,1049070,0,1049070,1,983900,86160,897740,0.912430125,12960,2032970,99120,1933850,0.951243747
2022/5/16,月,4038660,1730870,2307790,0.57142468,2947535,151210,2796325,0.948699507,38290,6986195,1920370,5065825,0.725119325
2022/5/17,火,4797870,2968480,1829390,0.381292115,673545,197950,475595,0.706107239,26230,5471415,3192660,2278755,0.41648367
2022/5/18,水,4281365,1785845,2495520,0.582879526,715500,186110,529390,0.73988819,38610,4996865,2010565,2986300,0.597634717
2022/5/19,木,3997660,2435760,1561900,0.390703562,496495,231760,264735,0.533207787,20520,4494155,2688040,1806115,0.401880888
2022/5/20,金,4089360,1608920,2480440,0.606559462,935785,119440,816345,0.872363844,42770,5025145,1771130,3254015,0.647546489
2022/5/21,土,3701820,1276205,2425615,0.65524931,511600,123790,387810,0.75803362,46080,4213420,1446075,2767345,0.656793056
2022/5/22,日,1067410,0,1067410,1,0,305090,-305090,0,9900,1067410,314990,752420,0.704902521
2022/5/23,月,3538480,1758354,1780126,0.503076462,883950,121110,762840,0.862989988,65990,4422430,1945454,2476976,0.560093885
2022/5/24,火,5150140,2869286,2280854,0.442872233,372640,524780,-152140,-0.408276084,21400,5522780,3415466,2107314,0.381567616
2022/5/25,水,4835882,1867088,2968794,0.613909521,1121460,526870,594590,0.530192784,133380,5957342,2527338,3430004,0.575760801
2022/5/26,木,5218760,2201691,3017069,0.578119898,525105,426585,98520,0.187619619,79140,5743865,2707416,3036449,0.528642125
2022/5/27,金,4437260,2150810,2286450,0.515284207,1307510,445605,861905,0.659195723,69300,5744770,2665715,3079055,0.535975331
2022/5/28,土,4992070,2459070,2533000,0.507404744,873469,542485,330984,0.378930449,70560,5865539,3072115,2793424,0.47624336
2022/5/29,日,1108940,0,1108940,1,0,239535,-239535,0,2850,1108940,242385,866555,0.781426407
2022/5/30,月,4891240,1922686,2968554,0.606912358,1049470,274990,774480,0.7379725,65520,5940710,2263196,3677514,0.619036108
2022/5/31,火,5620627,2161415,3459212,0.615449486,1644270,459650,1184620,0.720453454,116320,7264897,2737385,4527512,0.62320388
2022/6/1,水,4756610,2635405,2121205,0.445948901,948755,381980,566775,0.597388156,2940,5705365,3020325,2685040,0.470616691
2022/6/2,木,4910420,2268910,2641510,0.537939728,698616,317025,381591,0.546209935,45910,5609036,2631845,2977191,0.530784791
2022/6/3,金,4564080,2042475,2521605,0.55248922,1015665,131420,884245,0.870606942,29130,5579745,2203025,3376720,0.605174609
2022/6/4,土,4539860,2346920,2192940,0.483041327,618630,356350,262280,0.423969093,90180,5158490,2793450,2365040,0.458475251
2022/6/5,日,731950,0,731950,1,0,259535,-259535,0,0,731950,259535,472415,0.645419769
2022/6/6,月,3601960,1753845,1848115,0.513085931,400490,40500,359990,0.898873879,4590,4002450,1798935,2203515,0.550541543
2022/6/7,火,4368160,1923110,2445050,0.559743691,679535,249620,429915,0.632660569,22990,5047695,2195720,2851975,0.565005413
2022/6/8,水,4682950,729200,3953750,0.844286187,490260,484560,5700,0.011626484,46150,5173210,1259910,3913300,0.75645489
2022/6/9,木,5418980,2219850,3199130,0.590356488,768285,201720,566565,0.737441184,63000,6187265,2484570,3702695,0.598438082
2022/6/10,金,4410500,2352360,2058140,0.466645505,945540,380000,565540,0.598113247,12690,5356040,2745050,2610990,0.487485157
2022/6/11,土,5037930,2875190,2162740,0.429291395,840990,483745,357245,0.42479102,38460,5878920,3397395,2481525,0.422105591
2022/6/12,日,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/6/13,月,5066070,2684900,2381170,0.470023115,849245,198180,651065,0.76663978,16730,5915315,2899810,3015505,0.509779276
2022/6/14,火,5716890,1147520,4569370,0.79927548,489670,326805,162865,0.332601548,31270,6206560,1505595,4700965,0.757418763
2022/6/15,水,4626030,1591395,3034635,0.655991206,491680,97110,394570,0.802493492,65030,5117710,1753535,3364175,0.657359444
2022/6/16,木,4711610,2126195,2585415,0.548732811,702210,192460,509750,0.725922445,24415,5413820,2343070,3070750,0.567205781
2022/6/17,金,4188518,1585165,2603353,0.621545138,660600,449810,210790,0.319088707,15450,4849118,2050425,2798693,0.577155062
2022/6/18,土,4564310,1476880,3087430,0.676428639,433830,792280,-358450,-0.826245303,64850,4998140,2334010,2664130,0.533024285
2022/6/19,日,879570,0,879570,1,477320,501100,-23780,-0.049819827,12690,1356890,513790,843100,0.621347346
2022/6/20,月,3662770,1679650,1983120,0.541426298,1123385,183550,939835,0.836609889,0,4786155,1863200,2922955,0.610710476
2022/6/21,火,5553020,1987960,3565060,0.642003811,589935,278325,311610,0.528210735,130733,6142955,2397018,3745937,0.609793984
2022/6/22,水,4047010,2728001,1319009,0.325921853,476930,126920,350010,0.733881282,0,4523940,2854921,1669019,0.368930401
2022/6/23,木,6959790,3196025,3763765,0.54078715,1110800,124125,986675,0.888256212,75040,8070590,3395190,4675400,0.579313284
2022/6/24,金,4564040,1898560,2665480,0.584017669,484990,251520,233470,0.481391369,91440,5049030,2241520,2807510,0.55604938
2022/6/25,土,4729220,1498595,3230625,0.683120049,491895,250040,241855,0.491680135,73381,5221115,1822016,3399099,0.65102933
2022/6/26,日,1921980,0,1921980,1,0,228220,-228220,0,8640,1921980,236860,1685120,0.876762505
2022/6/27,月,5321120,1898865,3422255,0.643145616,499725,118400,381325,0.763069688,66580,5820845,2083845,3737000,0.642003008
2022/6/28,火,5114530,2871130,2243400,0.43863268,480595,327290,153305,0.318990002,12940,5595125,3211360,2383765,0.426043207
2022/6/29,水,3817060,1195030,2622030,0.686923968,904700,160250,744450,0.822869459,12420,4721760,1367700,3354060,0.710341059
2022/6/30,木,4935064,3134595,1800469,0.364831945,799717,74130,725587,0.907304709,120274,5734781,3328999,2405782,0.419507214
2022/7/1,金,4309130,1868730,2440400,0.566332415,627645,69920,557725,0.888599447,18090,4936775,1956740,2980035,0.603640028
2022/7/2,土,4700710,2765185,1935525,0.411751629,468520,221660,246860,0.526893196,36140,5169230,3022985,2146245,0.415196267
2022/7/3,日,4818380,2344435,2473945,0.513439164,408610,73860,334750,0.819240841,59400,5226990,2477695,2749295,0.525980536
2022/7/4,月,5763540,2114025,3649515,0.633207196,416225,55780,360445,0.865985945,84010,6179765,2253815,3925950,0.635291148
2022/7/5,火,4314180,2131030,2183150,0.506040545,647255,133190,514065,0.794223297,22020,4961435,2286240,2675195,0.539197833
2022/7/6,水,4548750,2508200,2040550,0.448595768,334010,138050,195960,0.586689021,14570,4882760,2660820,2221940,0.455058205
2022/7/7,木,347700,0,347700,1,0,210780,-210780,0,6210,347700,216990,130710,0.375927524
2022/7/8,金,4233000,1517745,2715255,0.641449327,817120,178360,638760,0.781721167,33800,5050120,1729905,3320215,0.657452694
2022/7/9,土,4899000,2494420,2404580,0.490830782,754028,271435,482593,0.640019999,21760,5653028,2787615,2865413,0.506881091
2022/7/10,日,5030940,1664405,3366535,0.6691662,922055,322180,599875,0.650584835,0,5952995,1986585,3966410,0.666288146
2022/7/11,月,2246920,12250,2234670,0.994548092,743700,757460,-13760,-0.018502084,0,2990620,769710,2220910,0.742625275
2022/7/12,火,3289680,1309100,1980580,0.602058559,973570,63940,909630,0.934324188,33090,4263250,1406130,2857120,0.670174163
2022/7/13,水,1300,0,1300,1,0,25950,-25950,0,0,1300,25950,-24650,-18.96153846
2022/7/14,木,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/15,金,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/16,土,5493730,2574380,2919350,0.531396701,941725,183190,758535,0.805473997,25540,6435455,2783110,3652345,0.567534852
2022/7/17,日,4504070,2822200,1681870,0.373411159,907615,258120,649495,0.715606287,10940,5411685,3091260,2320425,0.4287805
2022/7/18,月,4578930,2630130,1948800,0.425601614,748805,75940,672865,0.898585079,0,5327735,2706070,2621665,0.492078716
2022/7/19,火,4006670,859720,3146950,0.785427799,630435,216490,413945,0.656602187,94650,4637105,1170860,3466245,0.747501944
2022/7/20,水,4089220,1583650,2505570,0.612725654,759198,360720,398478,0.524867031,68430,4848418,2012800,2835618,0.584854276
2022/7/21,木,621180,0,621180,1,186300,70100,116200,0.623725174,9180,807480,79280,728200,0.901818002
2022/7/22,金,4303040,1573670,2729370,0.634288782,643780,79020,564760,0.877256206,16280,4946820,1668970,3277850,0.662617601
2022/7/23,土,6898800,2649385,4249415,0.615964371,559687,274690,284997,0.509207825,20630,7458487,2944705,4513782,0.605187352
2022/7/24,日,3495210,2285855,1209355,0.346003531,593950,121400,472550,0.795605691,0,4089160,2407255,1681905,0.41130819
2022/7/25,月,6001370,2490635,3510735,0.584988928,288390,204220,84170,0.291861715,125290,6289760,2820145,3469615,0.551629156
2022/7/26,火,4909470,1929215,2980255,0.607042104,795810,212160,583650,0.733403702,0,5705280,2141375,3563905,0.624667852
2022/7/27,水,5350380,1749780,3600600,0.672961547,754965,351240,403725,0.53475989,70070,6105345,2171090,3934255,0.644395198
2022/7/28,木,2180770,0,2180770,1,59520,558865,-499345,-8.38953293,42930,2240290,601795,1638495,0.731376295
2022/7/29,金,5589390,1591700,3997690,0.715228317,645215,378660,266555,0.413125857,32590,6234605,2002950,4231655,0.678736664
2022/7/30,土,7066660,3063950,4002710,0.566421761,758055,286340,471715,0.622270152,22180,7824715,3372470,4452245,0.568997721
2022/7/31,日,5768649,3476980,2291669,0.397262687,1206560,592410,614150,0.509009084,94934,6975209,4164324,2810885,0.40298219
2022/8/1,月,4309130,1868730,2440400,0.566332415,627645,69920,557725,0.888599447,18090,4936775,1956740,2980035,0.603640028
2022/8/2,火,4700710,2765185,1935525,0.411751629,468520,221660,246860,0.526893196,36140,5169230,3022985,2146245,0.415196267
2022/8/3,水,4818380,2344435,2473945,0.513439164,408610,73860,334750,0.819240841,59400,5226990,2477695,2749295,0.525980536
2022/8/4,木,5763540,2114025,3649515,0.633207196,416225,55780,360445,0.865985945,84010,6179765,2253815,3925950,0.635291148
2022/8/5,金,4314180,2131030,2183150,0.506040545,647255,133190,514065,0.794223297,22020,4961435,2286240,2675195,0.539197833
2022/8/6,土,4548750,2508200,2040550,0.448595768,334010,138050,195960,0.586689021,14570,4882760,2660820,2221940,0.455058205
2022/8/7,日,347700,0,347700,1,0,210780,-210780,0,6210,347700,216990,130710,0.375927524
2022/8/8,月,4233000,1517745,2715255,0.641449327,817120,178360,638760,0.781721167,33800,5050120,1729905,3320215,0.657452694
2022/8/9,火,4899000,2494420,2404580,0.490830782,754028,271435,482593,0.640019999,21760,5653028,2787615,2865413,0.506881091
2022/8/10,水,5030940,1664405,3366535,0.6691662,922055,322180,599875,0.650584835,0,5952995,1986585,3966410,0.666288146
2022/8/11,木,2246920,12250,2234670,0.994548092,743700,757460,-13760,-0.018502084,0,2990620,769710,2220910,0.742625275
2022/8/12,金,3289680,1309100,1980580,0.602058559,973570,63940,909630,0.934324188,33090,4263250,1406130,2857120,0.670174163
2022/8/13,土,1300,0,1300,1,0,25950,-25950,0,0,1300,25950,-24650,-18.96153846
2022/8/14,日,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/8/15,月,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/8/16,火,5493730,2574380,2919350,0.531396701,941725,183190,758535,0.805473997,25540,6435455,2783110,3652345,0.567534852
2022/8/17,水,4504070,2822200,1681870,0.373411159,907615,258120,649495,0.715606287,10940,5411685,3091260,2320425,0.4287805
2022/8/18,木,4578930,2630130,1948800,0.425601614,748805,75940,672865,0.898585079,0,5327735,2706070,2621665,0.492078716
2022/8/19,金,4006670,859720,3146950,0.785427799,630435,216490,413945,0.656602187,94650,4637105,1170860,3466245,0.747501944
2022/8/20,土,4089220,1583650,2505570,0.612725654,759198,360720,398478,0.524867031,68430,4848418,2012800,2835618,0.584854276
2022/8/21,日,621180,0,621180,1,186300,70100,116200,0.623725174,9180,807480,79280,728200,0.901818002
2022/8/22,月,4303040,1573670,2729370,0.634288782,643780,79020,564760,0.877256206,16280,4946820,1668970,3277850,0.662617601
2022/8/23,火,6898800,2649385,4249415,0.615964371,559687,274690,284997,0.509207825,20630,7458487,2944705,4513782,0.605187352
2022/8/24,水,3495210,2285855,1209355,0.346003531,593950,121400,472550,0.795605691,0,4089160,2407255,1681905,0.41130819
2022/8/25,木,6001370,2490635,3510735,0.584988928,288390,204220,84170,0.291861715,125290,6289760,2820145,3469615,0.551629156
2022/8/26,金,4909470,1929215,2980255,0.607042104,795810,212160,583650,0.733403702,0,5705280,2141375,3563905,0.624667852
2022/8/27,土,5350380,1749780,3600600,0.672961547,754965,351240,403725,0.53475989,70070,6105345,2171090,3934255,0.644395198
2022/8/28,日,2180770,0,2180770,1,59520,558865,-499345,-8.38953293,42930,2240290,601795,1638495,0.731376295
2022/8/29,月,5589390,1591700,3997690,0.715228317,645215,378660,266555,0.413125857,32590,6234605,2002950,4231655,0.678736664
2022/8/30,火,7066660,3063950,4002710,0.566421761,758055,286340,471715,0.622270152,22180,7824715,3372470,4452245,0.568997721
2022/8/31,水,5768649,3476980,2291669,0.397262687,1206560,592410,614150,0.509009084,94934,6975209,4164324,2810885,0.40298219
2022/9/1,木,5719360,1598506,4120854,0.720509637,475784,207780,268004,0.563289224,82280,6195144,1888566,4306578,0.695153817
2022/9/2,金,4070220,1889620,2180600,0.535744997,974003,251910,722093,0.7413663,11610,5044223,2153140,2891083,0.573147341
2022/9/3,土,5676510,2244355,3432155,0.604624144,647400,423670,223730,0.345582329,62910,6323910,2730935,3592975,0.5681572
2022/9/4,日,1031330,0,1031330,1,59640,43725,15915,0.266851107,47540,1090970,91265,999705,0.916345087
2022/9/5,月,5034160,1610970,3423190,0.679992293,328120,509130,-181010,-0.55165793,91710,5362280,2211810,3150470,0.587524337
2022/9/6,火,5212940,2788540,2424400,0.465073452,1340275,800345,539930,0.402850161,20020,6553215,3608905,2944310,0.449292447
2022/9/7,水,6282760,3288500,2994260,0.47658354,985920,181110,804810,0.816303554,65460,7268680,3535070,3733610,0.513657225
2022/9/8,木,6241560,2550020,3691540,0.591445087,942695,361990,580705,0.616005177,115070,7184255,3027080,4157175,0.578650813
2022/9/9,金,4160350,1812630,2347720,0.564308291,782083,526890,255193,0.326299127,55260,4942433,2394780,2547653,0.515465359
2022/9/10,土,5226370,2719480,2506890,0.479661792,752800,931545,-178745,-0.237440223,36360,5979170,3687385,2291785,0.383294839
2022/9/11,日,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/9/12,月,4822215,1687940,3134275,0.649965835,537580,505820,31760,0.059079579,57370,5359795,2251130,3108665,0.579996996
2022/9/13,火,6074540,2497380,3577160,0.588877512,1562485,512740,1049745,0.67184325,15530,7637025,3025650,4611375,0.603818241
2022/9/14,水,6172315,2011080,4161235,0.674177355,907945,419830,488115,0.53760415,41490,7080260,2472400,4607860,0.650803784
2022/9/15,木,5861665,1681990,4179675,0.71305252,653840,267410,386430,0.591016151,48730,6515505,1998130,4517375,0.693326918
2022/9/16,金,5490550,1825015,3665535,0.667607981,881635,624270,257365,0.291917857,40670,6372185,2489955,3882230,0.609246279
2022/9/17,土,6153695,2370740,3782955,0.614745287,1163535,476030,687505,0.59087608,34700,7317230,2881470,4435760,0.60620754
2022/9/18,日,759670,0,759670,1,50400,67320,-16920,-0.335714286,9180,810070,76500,733570,0.905563717
2022/9/19,月,1552600,1642495,-89895,-0.057899652,103280,182180,-78900,-0.76394268,0,1655880,1824675,-168795,-0.101936735
2022/9/20,火,5438710,2060030,3378680,0.621228196,1356250,466925,889325,0.655723502,86600,6794960,2613555,4181405,0.615368597
2022/9/21,水,4812760,2902945,1909815,0.396823237,951805,516715,435090,0.457120944,20074,5764565,3439734,2324831,0.403296866
2022/9/22,木,4562065,3115020,1447045,0.31719079,906685,601695,304990,0.336379228,19760,5468750,3736475,1732275,0.316758857
2022/9/23,金,1996690,1352190,644500,0.322784208,532120,235710,296410,0.557036007,2430,2528810,1590330,938480,0.371115268
2022/9/24,土,5216715,1764905,3451810,0.661682687,1789049,480955,1308094,0.731167229,55110,7005764,2300970,4704794,0.671560447
2022/9/25,日,1818610,0,1818610,1,318900,231120,87780,0.275258702,0,2137510,231120,1906390,0.89187419
2022/9/26,月,4945650,1675545,3270105,0.661208335,683555,334370,349185,0.510836729,58839,5629205,2068754,3560451,0.632496241
2022/9/27,火,5371440,2637757,2733683,0.508929263,1236840,741040,495800,0.400860257,79574,6608280,3458371,3149909,0.476660947
2022/9/28,水,6492710,1583415,4909295,0.756124176,744140,404085,340055,0.456977182,75420,7236850,2062920,5173930,0.714942275
2022/9/29,木,6639480,1770425,4869055,0.733348847,894910,138650,756260,0.845068219,86710,7534390,1995785,5538605,0.735109943
2022/9/30,金,5216981,3193946,2023035,0.387778871,679130,333230,345900,0.509328111,183891,5896111,3711067,2185044,0.370590716
2022/10/1,土,4586170,2429625,2156545,0.470227881,1221553,512290,709263,0.580624009,60110,5807723,3002025,2805698,0.483097765
2022/10/2,日,1536620,0,1536620,1,353680,189050,164630,0.465477268,8100,1890300,197150,1693150,0.895704386
2022/10/3,月,3981120,2426290,1554830,0.3905509,973925,273345,700580,0.719336705,72980,4955045,2772615,2182430,0.44044605
2022/10/4,火,6602015,2837230,3764785,0.570247871,970055,497510,472545,0.487132173,20070,7572070,3354810,4217260,0.556949421
2022/10/5,水,5804970,2402980,3401990,0.586047818,681080,440760,240320,0.352851354,52363,6486050,2896103,3589947,0.553487408
2022/10/6,木,5542020,1897645,3644375,0.657589651,686845,531620,155225,0.225997132,59430,6228865,2488695,3740170,0.600457708
2022/10/7,金,4398440,2186895,2211545,0.50280213,1332830,438930,893900,0.670678181,0,5731270,2625825,3105445,0.541842384
2022/10/8,土,4468180,1690545,2777635,0.621647964,441900,339710,102190,0.231251414,70110,4910080,2100365,2809715,0.572234057
2022/10/9,日,796960,0,796960,1,75240,178550,-103310,-1.373072834,10260,872200,188810,683390,0.783524421
2022/10/10,月,1917600,1504000,413600,0.215686275,604050,98185,505865,0.837455509,950,2521650,1603135,918515,0.364251581
2022/10/11,火,4457010,1575420,2881590,0.646529848,867360,193830,673530,0.776528777,24720,5324370,1793970,3530400,0.663064363
2022/10/12,水,6522080,1932035,4590045,0.703770116,964226,216025,748201,0.7759602,31150,7486306,2179210,5307096,0.70890717
