日付,曜日,工場売上,工場仕入,工場内粗利,工場内粗利利益率,ヤード売上,ヤード仕入,ヤード粗利,ヤード利益率,手数料他,工場内売上計,工場内仕入計,工場内粗利計,利益率
2022/3/1,火,7069090,3327575,3741515,0.529278167,2434295,943590,1490705,0.612376479,208510,9503385,4479675,5023710,0.528623222
2022/3/2,水,6511110,3356135,3154975,0.484552557,847645,506360,341285,0.402627279,234050,7358755,4096545,3262210,0.443310044
2022/3/3,木,6265810,2545685,3720125,0.593718131,769275,212480,556795,0.723791882,316320,7035085,3074485,3960600,0.562978272
2022/3/4,金,5498825,3379006,2119819,0.385503994,927180,469770,457410,0.493334628,32670,6426005,3881446,2544559,0.395978372
2022/3/5,土,5500540,3288645,2211895,0.402123246,1152614,961400,191214,0.165895955,130300,6653154,4380345,2272809,0.341613767
2022/3/6,日,1652260,0,1652260,1,471500,173535,297965,0.63195122,10800,2123760,184335,1939425,0.913203469
2022/3/7,月,4964820,1939575,3025245,0.60933629,1390195,738350,651845,0.468887458,39720,6355015,2717645,3637370,0.572362142
2022/3/8,火,6033345,2667925,3365420,0.557803341,2224275,1035220,1189055,0.534580931,31640,8257620,3734785,4522835,0.547716533
2022/3/9,水,3841190,2517291,1323899,0.344658556,1826740,1126735,700005,0.383199032,48500,5667930,3692526,1975404,0.348523006
2022/3/10,木,3797840,2275310,1522530,0.400893666,1333760,385270,948490,0.711139935,16320,5131600,2676900,2454700,0.478349832
2022/3/11,金,5500580,1401965,4098615,0.745124151,1340760,429735,911025,0.679484024,11420,6841340,1843120,4998220,0.730590791
2022/3/12,土,4615060,1986390,2628670,0.569585227,1065850,543460,522390,0.49011587,37940,5680910,2567790,3113120,0.547996712
2022/3/13,日,114220,83050,31170,0.272894414,0,144930,-144930,0,0,114220,227980,-113760,-0.995972684
2022/3/14,月,5752550,1494920,4257630,0.74012916,876772,163990,712782,0.812961637,66620,6629322,1725530,4903792,0.739712447
2022/3/15,火,5940783,1812630,4128153,0.694883654,1398400,1041580,356820,0.255163043,93210,7339183,2947420,4391763,0.59839944
2022/3/16,水,5141230,1676635,3464595,0.67388446,666305,409000,257305,0.386166996,28090,5807535,2113725,3693810,0.636037493
2022/3/17,木,6332050,2186945,4145105,0.65462291,1068932,318310,750622,0.702216792,59860,7400982,2565115,4835867,0.653408831
2022/3/18,金,5320900,1781740,3539160,0.665143115,1889315,670270,1219045,0.645231208,136650,7210215,2588660,4621555,0.640973258
2022/3/19,土,6488595,2221670,4266925,0.657603842,2925055,1239710,1685345,0.576175491,111440,9413650,3572820,5840830,0.620463901
2022/3/20,日,1581110,0,1581110,1,87480,587595,-500115,-5.716906722,8910,1668590,596505,1072085,0.642509544
2022/3/21,月,2233690,804110,1429580,0.640008237,0,719740,-719740,0,9890,2233690,1533740,699950,0.313360404
2022/3/22,火,5525860,2018125,3507735,0.634785355,1734750,531630,1203120,0.693540856,33890,7260610,2583645,4676965,0.644155932
2022/3/23,水,7113970,3345660,3768310,0.529705636,2670080,675870,1994210,0.746872753,39820,9784050,4061350,5722700,0.584900936
2022/3/24,木,7344550,2257600,5086950,0.692615613,1805770,551000,1254770,0.69486701,59596,9150320,2868196,6282124,0.686546919
2022/3/25,金,5293810,3206775,2087035,0.394240632,1269695,462630,807065,0.635636905,68240,6563505,3737645,2825860,0.430541304
2022/3/26,土,6081390,2172560,3908830,0.642752726,486215,1028015,-541800,-1.114321854,65210,6567605,3265785,3301820,0.50274339
